1,545301680,-326619233,1183321750,419
3,545301817,-326618243,1183322287,411
5,545301819,-326619537,1183321732,409
4,545301823,-326618288,1183321870,412
2,545301826,-326618613,1183322167,415
1,545301980,-326619260,1183321800,419
3,545302117,-326618543,1183322038,411
5,545302119,-326619020,1183321953,409
4,545302123,-326618513,1183321898,412
2,545302126,-326618217,1183322238,414
1,545302280,-326619160,1183321822,419
5,545302419,-326619190,1183322160,409
3,545302422,-326618778,1183322135,411
4,545302423,-326618577,1183322572,412
2,545302426,-326618725,1183322217,414
1,545302580,-326619288,1183321733,418
5,545302719,-326619422,1183321968,409
3,545302722,-326619155,1183321852,411
4,545302723,-326618488,1183322087,412
2,545302726,-326618905,1183322210,414
1,545302880,-326619185,1183321878,419
5,545303019,-326619015,1183322390,409
3,545303022,-326619502,1183321733,410
4,545303023,-326618455,1183322127,412
2,545303026,-326618560,1183322118,414
1,545303180,-326619118,1183321898,418
5,545303319,-326619020,1183322363,409
3,545303322,-326619173,1183322092,410
4,545303323,-326618408,1183322303,412
2,545303326,-326618467,1183322628,414
1,545303480,-326619147,1183322062,418
5,545303619,-326618550,1183322365,409
3,545303622,-326618593,1183322468,411
4,545303623,-326618437,1183322810,412
2,545303626,-326618860,1183322323,414
1,545303780,-326619057,1183322047,418
5,545303919,-326618978,1183322093,409
3,545303922,-326618525,1183322453,410
4,545303923,-326618662,1183322375,412
2,545303926,-326618755,1183321942,413
1,545304080,-326619267,1183322033,418
5,545304219,-326618742,1183322225,408
3,545304222,-326618607,1183322347,411
4,545304223,-326618510,1183322358,411
2,545304226,-326618757,1183322407,413
1,545304380,-326619113,1183321938,418
5,545304519,-326618953,1183322287,408
3,545304522,-326618537,1183322138,411
4,545304523,-326618638,1183322425,411
2,545304526,-326618705,1183322468,413
1,545304680,-326619150,1183321960,418
5,545304819,-326619205,1183322250,409
3,545304822,-326618710,1183322148,410
4,545304823,-326618500,1183322283,411
2,545304826,-326618822,1183322345,413
1,545304980,-326619120,1183321907,418
5,545305119,-326619022,1183322243,408
3,545305122,-326618697,1183322273,409
4,545305123,-326618503,1183322600,411
2,545305126,-326618795,1183322550,413
1,545305280,-326619185,1183321725,418
5,545305294,-326618982,1183322173,408
5,545305309,-326618910,1183321807,408
5,545305314,-326619023,1183321825,408
5,545305319,-326619082,1183321885,408
3,545305322,-326618512,1183322075,409
3,545305327,-326618433,1183321983,410
3,545305332,-326618575,1183321147,410
3,545305337,-326619138,1183320617,410
3,545305342,-326619258,1183320535,410
3,545305362,-326619793,1183320307,410
3,545305367,-326619875,1183320530,410
3,545305372,-326619067,1183320937,410
3,545305377,-326617735,1183321047,410
3,545305382,-326616485,1183320417,410
3,545305387,-326615432,1183319297,410
3,545305392,-326614143,1183318620,410
3,545305397,-326612898,1183317977,410
3,545305402,-326611767,1183317212,410
3,545305407,-326610660,1183316783,410
3,545305412,-326609542,1183316375,410
3,545305417,-326608518,1183315720,410
3,545305422,-326607667,1183314955,410
4,545305423,-326618453,1183322382,411
2,545305426,-326619105,1183322450,413
3,545305427,-326606895,1183314123,410
3,545305432,-326605827,1183313992,409
3,545305437,-326604732,1183314030,409
3,545305442,-326603638,1183313955,410
3,545305447,-326602613,1183313973,410
4,545305448,-326618345,1183322367,411
3,545305452,-326601550,1183313975,410
3,545305457,-326600437,1183313948,410
3,545305462,-326599312,1183313892,410
3,545305467,-326598183,1183313830,410
3,545305472,-326597070,1183313888,410
3,545305477,-326595638,1183313895,410
3,545305482,-326593875,1183314102,410
3,545305487,-326592365,1183314042,410
3,545305492,-326590982,1183314080,409
3,545305497,-326589670,1183313942,410
3,545305502,-326588385,1183313983,410
3,545305507,-326587103,1183313962,410
3,545305512,-326586192,1183313835,410
3,545305517,-326585965,1183313420,410
3,545305522,-326586372,1183313280,410
1,545305590,-326618700,1183322237,418
5,545305619,-326618677,1183322208,408
4,545305753,-326618368,1183322342,411
2,545305771,-326618593,1183322222,413
4,545305783,-326618370,1183322363,411
3,545305822,-326586358,1183313358,409
3,545305842,-326586307,1183313073,410
3,545305847,-326586290,1183312020,409
3,545305852,-326586257,1183311080,409
3,545305857,-326585753,1183311725,410
3,545305862,-326585697,1183313337,409
3,545305867,-326587075,1183314087,410
3,545305872,-326588523,1183314192,410
3,545305877,-326590008,1183314368,410
3,545305882,-326591663,1183314307,409
3,545305887,-326593225,1183314230,410
1,545305890,-326618882,1183322327,418
3,545305892,-326594783,1183314287,410
3,545305897,-326596223,1183314400,410
3,545305902,-326597485,1183314568,410
3,545305907,-326598637,1183314508,409
3,545305912,-326599823,1183314397,409
